,name,impervious_fraction,max_3day_rain_mm,peak_30min_intensity_mm,year
115,Abbigere Lake,0.2906080774095313,79.80999792739749,9.220000267028809,2020
277,Abbigere Lake,0.2463530090744993,58.779998514801264,8.269999504089355,2021
439,Abbigere Lake,0.2754890283286466,117.69999729841948,9.09000015258789,2022
601,Abbigere Lake,0.3983140341613764,58.109998618252575,4.605000019073486,2023
763,Abbigere Lake,0.4072872281641024,76.2749980604276,6.420000076293945,2024
925,Abbigere Lake,0.3419913552807692,97.92499818746,6.605000019073486,2025
59,Agara Lake,0.0288369378225608,76.81999846175313,7.144999980926514,2020
221,Agara Lake,0.0229417547308921,63.28999811597168,5.569999694824219,2021
383,Agara Lake,0.0221583927254853,97.71999745536596,8.40999984741211,2022
545,Agara Lake,0.0190249447038584,70.4099979000166,6.529999732971191,2023
707,Agara Lake,0.0246835831899729,84.55499797128141,7.349999904632568,2024
869,Agara Lake,0.0210831899729663,97.16499748453498,7.514999866485596,2025
10,Agrahara Lake,0.645747440482586,82.59999796561897,7.794999599456787,2020
172,Agrahara Lake,0.5370918970360251,64.42999852448702,4.339999675750732,2021
334,Agrahara Lake,0.4103148168045556,114.18499760236593,11.094999313354492,2022
496,Agrahara Lake,0.4349598612411549,60.82999871019274,5.019999980926514,2023
658,Agrahara Lake,0.5822959677047997,83.36999793257564,4.539999961853027,2024
820,Agrahara Lake,0.6264378578335815,101.86999773513526,4.84499979019165,2025
50,Akshaynagar Lake,0.9467213996233012,66.52499807905406,6.309999942779541,2020
212,Akshaynagar Lake,0.9490719261105084,78.96499759331346,5.670000076293945,2021
374,Akshaynagar Lake,0.9537729790849232,111.43999750632791,8.09999942779541,2022
536,Akshaynagar Lake,0.9381028025035412,63.59999836515635,4.654999732971191,2023
698,Akshaynagar Lake,0.9506389437686468,96.47499763779342,7.039999961853027,2024
860,Akshaynagar Lake,0.937319293674472,99.87499761022627,8.489999771118164,2025
130,Allalasandra Lake,0.1833243286386129,79.80999792739749,9.220000267028809,2020
292,Allalasandra Lake,0.1862651800734292,58.779998514801264,8.269999504089355,2021
454,Allalasandra Lake,0.1957661562641977,117.69999729841948,9.09000015258789,2022
616,Allalasandra Lake,0.1837203305541571,58.109998618252575,4.605000019073486,2023
778,Allalasandra Lake,0.1762454106754749,76.2749980604276,6.420000076293945,2024
940,Allalasandra Lake,0.1795024496862682,97.92499818746,6.605000019073486,2025
74,Ambalipura Lower Lake,0.6428128206230915,76.81999846175313,7.144999980926514,2020
236,Ambalipura Lower Lake,0.6090594646400727,63.28999811597168,5.569999694824219,2021
398,Ambalipura Lower Lake,0.6248548556543321,97.71999745536596,8.40999984741211,2022
560,Ambalipura Lower Lake,0.5951901160540397,70.4099979000166,6.529999732971191,2023
722,Ambalipura Lower Lake,0.6664813324404524,84.55499797128141,7.349999904632568,2024
884,Ambalipura Lower Lake,0.6120483630175279,97.16499748453498,7.514999866485596,2025
132,Ambalipura Upper Lake,0.4884217446332686,76.81999846175313,7.144999980926514,2020
294,Ambalipura Upper Lake,0.477083102935575,63.28999811597168,5.569999694824219,2021
456,Ambalipura Upper Lake,0.448099064892297,97.71999745536596,8.40999984741211,2022
618,Ambalipura Upper Lake,0.4211609589461916,70.4099979000166,6.529999732971191,2023
780,Ambalipura Upper Lake,0.484363672110198,84.55499797128141,7.349999904632568,2024
942,Ambalipura Upper Lake,0.4812456224425852,97.16499748453498,7.514999866485596,2025
120,Amruthalli Lake,0.5997476298079284,79.817578704384,9.21612836304369,2020
282,Amruthalli Lake,0.5092136611484992,58.795350267296016,8.259321205936144,2021
444,Amruthalli Lake,0.5576613695534706,117.69044660722297,9.095447984590638,2022
606,Amruthalli Lake,0.6743135039544139,58.1173891966819,4.606127625567075,2023
768,Amruthalli Lake,0.6579125116667486,76.29427605720649,6.414891882241285,2024
930,Amruthalli Lake,0.6007208822518054,97.93571724171558,6.600217879629558,2025
127,Anchepalya Lake,0.0516896227747517,76.25999812595546,5.414999961853027,2020
289,Anchepalya Lake,0.050790005342438,62.13499832805246,8.03499984741211,2021
451,Anchepalya Lake,0.0666760824577671,107.0749971345067,11.130000114440918,2022
613,Anchepalya Lake,0.0687270873887759,57.074998607859015,4.304999828338623,2023
775,Anchepalya Lake,0.0904069463975388,74.58999807480723,8.385000228881836,2024
937,Anchepalya Lake,0.0835262547053369,98.86999696306884,8.869999885559082,2025
73,Andrahalli Lake,0.6895918486422086,76.25999812595546,5.414999961853027,2020
235,Andrahalli Lake,0.6643675972472589,62.13499832805246,8.03499984741211,2021
397,Andrahalli Lake,0.613894527375407,107.0749971345067,11.130000114440918,2022
559,Andrahalli Lake,0.6474746575195236,57.074998607859015,4.304999828338623,2023
721,Andrahalli Lake,0.765077278827168,74.58999807480723,8.385000228881836,2024
883,Andrahalli Lake,0.7186547065922698,98.86999696306884,8.869999885559082,2025
146,Arekere lake,0.4922407145117535,78.18398694309282,6.2491052132933635,2020
308,Arekere lake,0.4426034084938905,74.80542316225304,5.777736596116716,2021
470,Arekere lake,0.4421702034834599,105.88921362554866,7.7580526161276495,2022
632,Arekere lake,0.5158242723845633,69.80188688895396,5.413841024942487,2023
794,Arekere lake,0.4599776945505269,91.23337138594444,7.381946773520792,2024
956,Arekere lake,0.451414982748609,94.76452987184751,7.754579597675507,2025
123,Attur Lake,0.0,72.05499899107963,7.204999923706055,2020
285,Attur Lake,0.0,68.73999839555472,9.994999885559082,2021
447,Attur Lake,0.0,127.49449767544866,10.699999809265137,2022
609,Attur Lake,0.0,60.35999889485538,6.355000019073486,2023
771,Attur Lake,0.0043616786170317,77.57499824557453,5.179999828338623,2024
933,Attur Lake,0.0113078283076318,99.66999763716012,8.434999465942383,2025
22,Avalahalli Lake,0.5910297533458685,78.96999865118414,6.244999885559082,2020
184,Avalahalli Lake,0.4739857931153139,74.524997969158,5.784999847412109,2021
346,Avalahalli Lake,0.4650542589929823,105.51499754469842,7.734999656677246,2022
508,Avalahalli Lake,0.4700961053964037,70.2199983606115,5.464999675750732,2023
670,Avalahalli Lake,0.5471555506396781,90.87999772280456,7.404999732971191,2024
832,Avalahalli Lake,0.5001259693495061,94.41999849583954,7.704999923706055,2025
118,B Channasandra Lake,1.0,82.59999796561897,7.794999599456787,2020
280,B Channasandra Lake,0.9443992322456816,64.42999852448702,4.339999675750732,2021
442,B Channasandra Lake,0.8856660268714014,114.18499760236593,11.094999313354492,2022
604,B Channasandra Lake,0.9334357005758158,60.82999871019274,5.019999980926514,2023
766,B Channasandra Lake,1.0,83.36999793257564,4.539999961853027,2024
928,B Channasandra Lake,1.0,101.86999773513526,4.84499979019165,2025
65,B Narayanapura Lake,0.9741578658051598,76.81999846175313,7.144999980926514,2020
227,B Narayanapura Lake,0.9725916758539572,63.28999811597168,5.569999694824219,2021
389,B Narayanapura Lake,0.8880174184890259,97.71999745536596,8.40999984741211,2022
551,B Narayanapura Lake,0.7980904766438086,70.4099979000166,6.529999732971191,2023
713,B Narayanapura Lake,0.8479290976596208,84.55499797128141,7.349999904632568,2024
875,B Narayanapura Lake,0.7941780727264911,97.16499748453498,7.514999866485596,2025
149,BEL Lake,0.4229528128386905,79.80999792739749,9.220000267028809,2020
311,BEL Lake,0.4216325916555881,58.779998514801264,8.269999504089355,2021
473,BEL Lake,0.428721872380666,117.69999729841948,9.09000015258789,2022
635,BEL Lake,0.4765568631544691,58.109998618252575,4.605000019073486,2023
797,BEL Lake,0.4784266647835605,76.2749980604276,6.420000076293945,2024
959,BEL Lake,0.4379480692532769,97.92499818746,6.605000019073486,2025
109,Bagalagunte Lake,0.9451954694921448,77.28592444935602,6.514619734237611,2020
271,Bagalagunte Lake,0.9600709849157054,61.16542570384549,8.102913184668449,2021
433,Bagalagunte Lake,0.8896080171198912,110.14555149055646,10.54045369819858,2022
595,Bagalagunte Lake,0.8958713920350747,57.374106724696425,4.391697887469519,2023
757,Bagalagunte Lake,0.9021347669502582,75.07695185983991,7.8171282585208415,2024
919,Bagalagunte Lake,0.9365833289837674,98.59689860427883,8.215429993869957,2025
25,Basapura Lake,0.4241520124628588,66.52499807905406,6.309999942779541,2020
187,Basapura Lake,0.4144791625057229,78.96499759331346,5.670000076293945,2021
349,Basapura Lake,0.427246218278245,111.43999750632791,8.09999942779541,2022
511,Basapura Lake,0.5204841341293664,63.59999836515635,4.654999732971191,2023
673,Basapura Lake,0.5318438947048213,96.47499763779342,7.039999961853027,2024
835,Basapura Lake,0.5644237003260131,99.87499761022627,8.489999771118164,2025
27,Basavanapura Kere,0.8096156385399363,70.28999858070165,7.599999904632568,2020
189,Basavanapura Kere,0.5570554294856247,72.46499830577523,4.269999980926514,2021
351,Basavanapura Kere,0.5757837233653816,151.09499582089484,16.56999969482422,2022
513,Basavanapura Kere,0.6457929662190589,65.27499802224338,7.329999923706055,2023
675,Basavanapura Kere,0.5871177343032702,85.75499790161848,5.84499979019165,2024
837,Basavanapura Kere,0.682469592239688,118.38499637320638,7.25499963760376,2025
12,Basavanapura Pond,0.9506333314895736,78.96999865118414,6.244999885559082,2020
174,Basavanapura Pond,0.9798845806368348,74.524997969158,5.784999847412109,2021
336,Basavanapura Pond,0.9686560834854436,105.51499754469842,7.734999656677246,2022
498,Basavanapura Pond,0.8589523756844957,70.2199983606115,5.464999675750732,2023
660,Basavanapura Pond,0.9412301565352066,90.87999772280456,7.404999732971191,2024
822,Basavanapura Pond,0.8816767151575491,94.41999849583954,7.704999923706055,2025
112,Begur Lake,0.0134270254990582,66.52499807905406,6.309999942779541,2020
274,Begur Lake,7.06685552582014e-05,78.96499759331346,5.670000076293945,2021
436,Begur Lake,0.0,111.43999750632791,8.09999942779541,2022
598,Begur Lake,7.06685552582014e-05,63.59999836515635,4.654999732971191,2023
760,Begur Lake,0.0036870550569496,96.47499763779342,7.039999961853027,2024
922,Begur Lake,0.0033152770053738,99.87499761022627,8.489999771118164,2025
136,Bellandur Lake,0.0,76.81999846175313,7.144999980926514,2020
298,Bellandur Lake,0.0,63.28999811597168,5.569999694824219,2021
460,Bellandur Lake,0.0,97.71999745536596,8.40999984741211,2022
622,Bellandur Lake,0.0,70.4099979000166,6.529999732971191,2023
784,Bellandur Lake,0.0,84.55499797128141,7.349999904632568,2024
946,Bellandur Lake,0.0,97.16499748453498,7.514999866485596,2025
17,Benniganahalli Lake,0.4425470368402788,76.81999846175313,7.144999980926514,2020
179,Benniganahalli Lake,0.431882179893075,63.28999811597168,5.569999694824219,2021
341,Benniganahalli Lake,0.4272575687319782,97.71999745536596,8.40999984741211,2022
503,Benniganahalli Lake,0.458843724378088,70.4099979000166,6.529999732971191,2023
665,Benniganahalli Lake,0.4326805855384171,84.55499797128141,7.349999904632568,2024
827,Benniganahalli Lake,0.4399276521653682,97.16499748453498,7.514999866485596,2025
79,Bheemanakatte Lake,0.9931436786375826,78.03999843634665,6.565000057220459,2020
241,Bheemanakatte Lake,1.0,68.39499835297465,5.554999828338623,2021
403,Bheemanakatte Lake,0.9991552471439672,105.12999767344444,8.84999942779541,2022
565,Bheemanakatte Lake,0.9997020326289628,70.91499849408865,5.704999923706055,2023
727,Bheemanakatte Lake,1.0,78.6149985678494,10.074999809265137,2024
889,Bheemanakatte Lake,0.9999846408571628,93.39999744854867,9.050000190734863,2025
15,Bhoganahalli Lake,0.2088405596768495,75.89359040717515,7.106142018573665,2020
177,Bhoganahalli Lake,0.322582131502557,64.60675163521955,5.291812381141791,2021
339,Bhoganahalli Lake,0.2864642368950528,96.8157561072254,8.242204338242114,2022
501,Bhoganahalli Lake,0.2318696339983719,67.86038896319356,6.381633204977616,2023
663,Bhoganahalli Lake,0.3680289975272234,85.64920155443991,7.398572315462487,2024
825,Bhoganahalli Lake,0.3250057595724091,100.27009812371064,7.887682622101802,2025
42,Byrasandra Lake,0.6515910479940301,76.81999846175313,7.144999980926514,2020
204,Byrasandra Lake,0.8713463942285544,63.28999811597168,5.569999694824219,2021
366,Byrasandra Lake,0.7025887353617755,97.71999745536596,8.40999984741211,2022
528,Byrasandra Lake,0.6566954235679652,70.4099979000166,6.529999732971191,2023
690,Byrasandra Lake,0.6428534135127754,84.55499797128141,7.349999904632568,2024
852,Byrasandra Lake,0.6902516254457121,97.16499748453498,7.514999866485596,2025
143,Byrasandra Melina Kere,0.76427321028224,76.81999846175313,7.144999980926514,2020
305,Byrasandra Melina Kere,0.7400939774576953,63.28999811597168,5.569999694824219,2021
467,Byrasandra Melina Kere,0.7634900648014502,97.71999745536596,8.40999984741211,2022
629,Byrasandra Melina Kere,0.7713215196093492,70.4099979000166,6.529999732971191,2023
791,Byrasandra Melina Kere,0.7423451368201228,84.55499797128141,7.349999904632568,2024
953,Byrasandra Melina Kere,0.7486103006664421,97.16499748453498,7.514999866485596,2025
41,Carmelaram Lake,0.2498487003591253,71.5749982856214,6.924999713897705,2020
203,Carmelaram Lake,0.320454175409277,70.74499854072928,3.994999885559082,2021
365,Carmelaram Lake,0.2985963694230337,92.60049746092407,7.460000038146973,2022
527,Carmelaram Lake,0.3685536368747176,55.97499892022461,5.690000057220459,2023
689,Carmelaram Lake,0.4031881983208044,90.74999806657434,7.625,2024
851,Carmelaram Lake,0.431223944973012,114.74499726854263,9.625,2025
119,Chandrasekhar Layout Lake,0.950557655083418,66.52499807905406,6.309999942779541,2020
281,Chandrasekhar Layout Lake,0.8932712692414052,78.96499759331346,5.670000076293945,2021
443,Chandrasekhar Layout Lake,0.9655267766614436,111.43999750632791,8.09999942779541,2022
605,Chandrasekhar Layout Lake,0.9600424002212188,63.59999836515635,4.654999732971191,2023
767,Chandrasekhar Layout Lake,0.9993332718837374,96.47499763779342,7.039999961853027,2024
929,Chandrasekhar Layout Lake,0.8852459520078656,99.87499761022627,8.489999771118164,2025
93,Chelekere,0.7917101691376072,82.59999796561897,7.794999599456787,2020
255,Chelekere,0.7737001461683025,64.42999852448702,4.339999675750732,2021
417,Chelekere,0.7525579452912927,114.18499760236593,11.094999313354492,2022
579,Chelekere,0.7744831906452289,60.82999871019274,5.019999980926514,2023
741,Chelekere,0.788577991229902,83.36999793257564,4.539999961853027,2024
903,Chelekere,0.7549070787220716,101.86999773513526,4.84499979019165,2025
151,Chikka Beguru Lake,0.4741245291598306,66.52499807905406,6.309999942779541,2020
313,Chikka Beguru Lake,0.4258791576799945,78.96499759331346,5.670000076293945,2021
475,Chikka Beguru Lake,0.4140075334427097,111.43999750632791,8.09999942779541,2022
637,Chikka Beguru Lake,0.4203949834399445,63.59999836515635,4.654999732971191,2023
799,Chikka Beguru Lake,0.4746714104005752,96.47499763779342,7.039999961853027,2024
961,Chikka Beguru Lake,0.4635709501600702,99.87499761022627,8.489999771118164,2025
113,Chikka Bellanduru Lake,0.0185617557786598,71.5749982856214,6.924999713897705,2020
275,Chikka Bellanduru Lake,0.0202575666343069,70.74499854072928,3.994999885559082,2021
437,Chikka Bellanduru Lake,0.0599032896272902,92.60049746092407,7.460000038146973,2022
599,Chikka Bellanduru Lake,0.0597681162982169,55.97499892022461,5.690000057220459,2023
761,Chikka Bellanduru Lake,0.1042186367155338,90.74999806657434,7.625,2024
923,Chikka Bellanduru Lake,0.057000135173329,114.74499726854263,9.625,2025
0,Chikkabettahalli Lake,0.8205377727159706,79.80999792739749,9.220000267028809,2020
162,Chikkabettahalli Lake,0.7200714656286558,58.779998514801264,8.269999504089355,2021
324,Chikkabettahalli Lake,0.758745176530541,117.69999729841948,9.09000015258789,2022
486,Chikkabettahalli Lake,0.8309137961203499,58.109998618252575,4.605000019073486,2023
648,Chikkabettahalli Lake,0.8084150163775405,76.2749980604276,6.420000076293945,2024
810,Chikkabettahalli Lake,0.8269997636231359,97.92499818746,6.605000019073486,2025
87,Chikkalasandra lake,1.0,78.03999843634665,6.565000057220459,2020
249,Chikkalasandra lake,1.0,68.39499835297465,5.554999828338623,2021
411,Chikkalasandra lake,1.0,105.12999767344444,8.84999942779541,2022
573,Chikkalasandra lake,1.0,70.91499849408865,5.704999923706055,2023
735,Chikkalasandra lake,1.0,78.6149985678494,10.074999809265137,2024
897,Chikkalasandra lake,1.0,93.39999744854867,9.050000190734863,2025
71,Chinnappanahalli Lake,0.7396778107099531,71.5749982856214,6.924999713897705,2020
233,Chinnappanahalli Lake,0.6740636085814767,70.74499854072928,3.994999885559082,2021
395,Chinnappanahalli Lake,0.7235284180782287,92.60049746092407,7.460000038146973,2022
557,Chinnappanahalli Lake,0.6600887633029779,55.97499892022461,5.690000057220459,2023
719,Chinnappanahalli Lake,0.5690956278698346,90.74999806657434,7.625,2024
881,Chinnappanahalli Lake,0.7626886988036921,114.74499726854263,9.625,2025
2,Chokkanahalli Lake,0.618273859226878,82.59999796561897,7.794999599456787,2020
164,Chokkanahalli Lake,0.6090457537207139,64.42999852448702,4.339999675750732,2021
326,Chokkanahalli Lake,0.6014876713001628,114.18499760236593,11.094999313354492,2022
488,Chokkanahalli Lake,0.6051101478461621,60.82999871019274,5.019999980926514,2023
650,Chokkanahalli Lake,0.6227466967925741,83.36999793257564,4.539999961853027,2024
812,Chokkanahalli Lake,0.6393947394272811,101.86999773513526,4.84499979019165,2025
131,Chudahalli Lake,0.0,78.96999865118414,6.244999885559082,2020
293,Chudahalli Lake,0.0,74.524997969158,5.784999847412109,2021
455,Chudahalli Lake,0.0,105.51499754469842,7.734999656677246,2022
617,Chudahalli Lake,0.0,70.2199983606115,5.464999675750732,2023
779,Chudahalli Lake,0.0,90.87999772280456,7.404999732971191,2024
941,Chudahalli Lake,0.0,94.41999849583954,7.704999923706055,2025
51,Chunchagatta Lake,0.6389477759138751,78.96999865118414,6.244999885559082,2020
213,Chunchagatta Lake,0.7462993345254113,74.524997969158,5.784999847412109,2021
375,Chunchagatta Lake,0.6274540527586776,105.51499754469842,7.734999656677246,2022
537,Chunchagatta Lake,0.6360443895514957,70.2199983606115,5.464999675750732,2023
699,Chunchagatta Lake,0.8346913193356315,90.87999772280456,7.404999732971191,2024
861,Chunchagatta Lake,0.739125358698791,94.41999849583954,7.704999923706055,2025
54,Dasarahalli Tank,0.6328062634326065,79.80999792739749,9.220000267028809,2020
216,Dasarahalli Tank,0.6030549585508135,58.779998514801264,8.269999504089355,2021
378,Dasarahalli Tank,0.5592109303039606,117.69999729841948,9.09000015258789,2022
540,Dasarahalli Tank,0.551381639545594,58.109998618252575,4.605000019073486,2023
702,Dasarahalli Tank,0.6962235185753759,76.2749980604276,6.420000076293945,2024
864,Dasarahalli Tank,0.6210623272950566,97.92499818746,6.605000019073486,2025
75,Deepanjali Nagara Kere,0.973370191200184,78.03999843634665,6.565000057220459,2020
237,Deepanjali Nagara Kere,0.948306841741534,68.39499835297465,5.554999828338623,2021
399,Deepanjali Nagara Kere,0.9365583966827922,105.12999767344444,8.84999942779541,2022
561,Deepanjali Nagara Kere,0.932642248329878,70.91499849408865,5.704999923706055,2023
723,Deepanjali Nagara Kere,1.0,78.6149985678494,10.074999809265137,2024
885,Deepanjali Nagara Kere,0.9389080856945402,93.39999744854867,9.050000190734863,2025
55,Devasandra lake,0.7478480639485072,70.3392302598984,7.574138892586617,2020
217,Devasandra lake,0.7047786338776001,72.39910064344352,4.2594640123793175,2021
379,Devasandra lake,0.6288198208434546,148.85391952569805,16.220971925508376,2022
541,Devasandra lake,0.6319521430304296,64.91869088025155,7.267167265456919,2023
703,Devasandra lake,0.7180910031722441,85.9463693430026,5.9131962255401165,2024
865,Devasandra lake,0.6397829484978673,118.24553854491975,7.345800512569612,2025
20,Deverabisanahalli Lake,0.5305893628393609,76.81999846175313,7.144999980926514,2020
182,Deverabisanahalli Lake,0.6843225675650764,63.28999811597168,5.569999694824219,2021
344,Deverabisanahalli Lake,0.6545564573106668,97.71999745536596,8.40999984741211,2022
506,Deverabisanahalli Lake,0.6553397760015723,70.4099979000166,6.529999732971191,2023
668,Deverabisanahalli Lake,0.6354526967665829,84.55499797128141,7.349999904632568,2024
830,Deverabisanahalli Lake,0.6874558423286985,97.16499748453498,7.514999866485596,2025
95,Doddabidirakallu Kere,0.4042984341418483,76.25999812595546,5.414999961853027,2020
257,Doddabidirakallu Kere,0.2244857230580288,62.13499832805246,8.03499984741211,2021
419,Doddabidirakallu Kere,0.2286091495241019,107.0749971345067,11.130000114440918,2022
581,Doddabidirakallu Kere,0.2393183911575069,57.074998607859015,4.304999828338623,2023
743,Doddabidirakallu Kere,0.1866595026097635,74.58999807480723,8.385000228881836,2024
905,Doddabidirakallu Kere,0.4682130795210316,98.86999696306884,8.869999885559082,2025
139,Doddabommasandra Kere,0.0,79.80999792739749,9.220000267028809,2020
301,Doddabommasandra Kere,0.0,58.779998514801264,8.269999504089355,2021
463,Doddabommasandra Kere,0.0,117.69999729841948,9.09000015258789,2022
625,Doddabommasandra Kere,0.0,58.109998618252575,4.605000019073486,2023
787,Doddabommasandra Kere,0.0,76.2749980604276,6.420000076293945,2024
949,Doddabommasandra Kere,0.0,97.92499818746,6.605000019073486,2025
66,Doddakalasandra Lake,0.5518604886951234,78.96999865118414,6.244999885559082,2020
228,Doddakalasandra Lake,0.6889661084125245,74.524997969158,5.784999847412109,2021
390,Doddakalasandra Lake,0.6505765348916521,105.51499754469842,7.734999656677246,2022
552,Doddakalasandra Lake,0.6349073212096634,70.2199983606115,5.464999675750732,2023
714,Doddakalasandra Lake,0.8245048067617269,90.87999772280456,7.404999732971191,2024
876,Doddakalasandra Lake,0.6625895987145101,94.41999849583954,7.704999923706055,2025
77,Doddakannelli Lake,0.1015179303798052,76.81999846175313,7.144999980926514,2020
239,Doddakannelli Lake,0.1322789846056483,63.28999811597168,5.569999694824219,2021
401,Doddakannelli Lake,0.117969088412302,97.71999745536596,8.40999984741211,2022
563,Doddakannelli Lake,0.1501586745681379,70.4099979000166,6.529999732971191,2023
725,Doddakannelli Lake,0.1671290194741158,84.55499797128141,7.349999904632568,2024
887,Doddakannelli Lake,0.1862252656608572,97.16499748453498,7.514999866485596,2025
133,Doddanekundi Lake,0.0,76.81999846175313,7.144999980926514,2020
295,Doddanekundi Lake,0.0,63.28999811597168,5.569999694824219,2021
457,Doddanekundi Lake,0.0,97.71999745536596,8.40999984741211,2022
619,Doddanekundi Lake,0.0,70.4099979000166,6.529999732971191,2023
781,Doddanekundi Lake,0.0,84.55499797128141,7.349999904632568,2024
943,Doddanekundi Lake,0.0,97.16499748453498,7.514999866485596,2025
44,Doddathogur Lake,0.4299107060551495,66.52499807905406,6.309999942779541,2020
206,Doddathogur Lake,0.406766797155868,78.96499759331346,5.670000076293945,2021
368,Doddathogur Lake,0.4271360180923174,111.43999750632791,8.09999942779541,2022
530,Doddathogur Lake,0.660258970876531,63.59999836515635,4.654999732971191,2023
692,Doddathogur Lake,0.7149200164699084,96.47499763779342,7.039999961853027,2024
854,Doddathogur Lake,0.6026972548103808,99.87499761022627,8.489999771118164,2025
24,Doddkammanahalli Lake,0.2457903146509343,66.52499807905406,6.309999942779541,2020
186,Doddkammanahalli Lake,0.2840431415929206,78.96499759331346,5.670000076293945,2021
348,Doddkammanahalli Lake,0.3185502704031468,111.43999750632791,8.09999942779541,2022
510,Doddkammanahalli Lake,0.3376597836774831,63.59999836515635,4.654999732971191,2023
672,Doddkammanahalli Lake,0.3555186823992137,96.47499763779342,7.039999961853027,2024
834,Doddkammanahalli Lake,0.3576941986234025,99.87499761022627,8.489999771118164,2025
142,Dore Kere,0.2558164541212105,78.03999843634665,6.565000057220459,2020
304,Dore Kere,0.2042126089481071,68.39499835297465,5.554999828338623,2021
466,Dore Kere,0.2404677126504226,105.12999767344444,8.84999942779541,2022
628,Dore Kere,0.319696834706097,70.91499849408865,5.704999923706055,2023
790,Dore Kere,0.3087259868693909,78.6149985678494,10.074999809265137,2024
952,Dore Kere,0.3118995757283428,93.39999744854867,9.050000190734863,2025
72,Dubasi Palya Kere,0.7293505839277054,76.58999805338681,6.224999904632568,2020
234,Dubasi Palya Kere,0.724285372012017,91.11499709263444,10.389999389648438,2021
396,Dubasi Palya Kere,0.6773284923545716,103.65999781433491,8.96500015258789,2022
558,Dubasi Palya Kere,0.7446506570338567,62.49999810196459,5.815000057220459,2023
720,Dubasi Palya Kere,0.7830313864980931,78.37999894283712,8.875,2024
882,Dubasi Palya Kere,0.704703367183325,102.7549975151196,8.324999809265137,2025
78,Gantiganahalli Lake,0.0097659187237398,72.05499899107963,7.204999923706055,2020
240,Gantiganahalli Lake,0.0059172505654841,68.73999839555472,9.994999885559082,2021
402,Gantiganahalli Lake,0.0016603903298376,127.49449767544866,10.699999809265137,2022
564,Gantiganahalli Lake,0.001632768309563,60.35999889485538,6.355000019073486,2023
726,Gantiganahalli Lake,0.0016603903298376,77.57499824557453,5.179999828338623,2024
888,Gantiganahalli Lake,0.0004849199114867704,99.66999763716012,8.434999465942383,2025
38,Garudacharpalya Lake,0.9279515008568427,76.81999846175313,7.144999980926514,2020
200,Garudacharpalya Lake,0.9396985387606184,63.28999811597168,5.569999694824219,2021
362,Garudacharpalya Lake,0.9326503160183532,97.71999745536596,8.40999984741211,2022
524,Garudacharpalya Lake,0.9295177725773464,70.4099979000166,6.529999732971191,2023
686,Garudacharpalya Lake,0.9263852291363396,84.55499797128141,7.349999904632568,2024
848,Garudacharpalya Lake,0.9396985387606184,97.16499748453498,7.514999866485596,2025
23,Goshala Lake,0.7832318374591946,76.81999846175313,7.144999980926514,2020
